id;rule_name;description;default_value
1;calculate reinvent Frozen;high-level;calculate index invoice
2;navigate syndicate;Group SCSI International;Steel SSL
3;best-of-breed;Lake;generating copy multi-byte
4;connecting Avon;architecture;Intelligent Baby
5;Practical Wooden Tuna Bedfordshire transmitter;invoice Gardens incentivize;vortals microchip Incredible Wooden Bike
6;Fantastic maximize Stravenue;fault-tolerant Arkansas CSS;e-services
7;Gorgeous Borders Extension;haptic Pizza;Refined cross-platform Island
8;Clothing Architect;Electronics;navigating
9;invoice;invoice interface deposit;Awesome
10;copy Metrics;COM;Focused structure
