id;member_id;payment_id;payment_date;expere_date;member_status
1;15823;60032;27519;39332;Ergonomic Rubber Gloves Home Loan Account Arkansas
2;47703;56898;71299;5797;navigating Awesome Concrete Tuna optical
3;82755;7135;20855;72611;Borders Chair
4;27726;63178;12935;20382;indexing Functionality
5;60702;57557;81526;22713;e-business Cotton Tasty
6;88609;9823;4556;36758;functionalities focus group payment
7;88419;84735;22050;26190;lime content
8;85962;23354;20450;13639;withdrawal
9;20731;67469;57509;79939;1080p
10;33553;10753;91908;46822;feed
